latitude:6.26600137;longitude:-75.56608273;altitude:1501.612548828125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:191.0;speed:8.699999809265137;elapsedMs:15;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26584886;longitude:-75.56611666;altitude:1503.0712890625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:191.0;speed:8.420000076293945;elapsedMs:5;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26569596;longitude:-75.56614128;altitude:1505.35009765625;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:189.39999389648438;speed:8.600000381469727;elapsedMs:15;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26553023;longitude:-75.56616227;altitude:1505.40234375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:190.6999969482422;speed:8.289999961853027;elapsedMs:22;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26537839;longitude:-75.56620857;altitude:1506.047119140625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:191.39999389648438;speed:7.96999979019165;elapsedMs:21;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26526544;longitude:-75.56623161;altitude:1504.116455078125;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:194.6999969482422;speed:6.789999961853027;elapsedMs:15;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26516115;longitude:-75.56626036;altitude:1504.196533203125;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:194.10000610351562;speed:5.699999809265137;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26507141;longitude:-75.56625558;altitude:1503.276123046875;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:187.6999969482422;speed:5.429999828338623;elapsedMs:11;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26500506;longitude:-75.56630172;altitude:1503.5213623046875;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:196.1999969482422;speed:3.4000000953674316;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26499936;longitude:-75.56632516;altitude:1504.533935546875;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:210.10000610351562;speed:1.6200000047683716;elapsedMs:19;provider:gps;(2020, 12, 13, 15, 4)
